Course Name,Credits,Prerequisites,Category
SOC 201 - Introduction to Research Methods,3,N/A,sociology core requirements
SOC 305 - Social Theory,3,"SOC 101, consent of instructor",sociology core requirements
SOC 397 - Capstone I: Field Research,3,"SOC 201, sociology major and junior standing, consent of instructor",sociology core requirements
SOC 101 - Introduction to Sociology,3,N/A,sociology core requirements
SOC 318 - Quantitative Data Analysis,3,N/A,sociology core requirements
SOC 497 - Capstone II: Senior Thesis Project,3,"SOC 201, SOC 397, sociology major, senior standing",sociology core requirements
